"tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm","stk_etf_dit_cd","ltg_tot_stk_qty","fc_mkt_dit_cd","co_adr","web_adr","btp_cfc_nm","ceo_nm","eng_utk_otl_cts","ser_cfc_nm","ids_nm","mkt_pr_tot_amt"
INSM,인스메드                                                        ,Insmed                                                      ,주식,171849103,NASD,"700 Us Highway 202/206   BRIDGEWATER NJ 08807 United States",https://insmed.com/,Bio Therapeutic Drugs,William Lewis,"Insmed Incorporated is a global biopharmaceutical company. The Company's first commercial product, ARIKAYCE (amikacin liposome inhalation suspension), is used for the treatment of Mycobacterium avium complex (MAC) lung disease as part of a combination antibacterial drug regimen for adult patients with limited or no alternative treatment options. Its pipeline includes clinical-stage programs, brensocatib and TPIP, as well as other early-stage research programs. Brensocatib is a small molecule, oral, reversible inhibitor of dipeptidyl peptidase 1 (DPP1), which is developing for the treatment of patients with bronchiectasis and other neutrophil-mediated diseases, including chronic rhinosinusitis without nasal polyps (CRSsNP). TPIP is an inhaled formulation of the treprostinil prodrug treprostinil palmitil, which offers a differentiated product profile for pulmonary hypertension associated with interstitial lung disease (PH-ILD) and pulmonary arterial hypertension (PAH).",Healthcare,Biotechnology,12921.330000
INSP,Inspire Medical                                             ,Inspire Medical                                             ,주식,29821707,NYSE,"5500 Wayzata Blvd Ste 1600   GOLDEN VALLEY MN 55416-1237 United States",https://www.inspiresleep.com/,Medical Devices & Implants,Timothy Herbert,"Inspire Medical Systems, Inc. is a medical technology company. The Company is focused on the development and commercialization of advanced, minimally invasive solutions for patients with obstructive sleep apnea (OSA). Its proprietary Inspire therapy is the FDA-approved neurostimulation technology that provides a safe and effective treatment for moderate to severe obstructive sleep apnea. It has developed a novel, closed-loop solution that continuously monitors a patient?? breathing and delivers mild hypoglossal nerve stimulation to maintain an open airway. The Company sells its Inspire system to hospitals and ambulatory surgery centers (ASCs) in the United States (U.S.) and in select countries in Europe and Japan through a direct sales organization and sells its Inspire system in Singapore and Hong Kong through distributors. Its direct sales force engages in sales efforts and promotional activities focused on ear, nose and throat (ENT) physicians and sleep centers.",Healthcare,Medical Devices,5633.320000
INST,Instructure Hldg                                            ,Instructure Hldg                                            ,주식,146471276,NYSE,"6330 South 3000 East, Suite 700   SALT LAKE CITY UT 84121 United States",https://www.instructure.com/,Application Software,Chris Ball,"Instructure Holdings, Inc. is an education technology company. The Company personalizes, simplifies, organizes, and automates the entire learning lifecycle through technology. Its learning platform comprises solutions, including Canvas LMS, Canvas Studio, Canvas Catalog, Canvas Network, Canvas Credentials, Canvas Student Pathways, Mastery Assessment, Impact, Elevate Data Sync, Elevate K-12 Analytics, Elevate Data Quality, Elevate Standards Alignment, and LearnPlatform. Canvas LMS is designed to give education customers of all sizes and at every level an extensive set of flexible tools to support and enhance content creation, management, and delivery of face-to-face, blended and online instruction. Canvas Studio is an online video platform that integrates with Canvas LMS, which enables customers to host, manage, edit, and deliver video learning experiences. Canvas Catalog is a course catalog and registration system. The Company?? learning platform supports educators and learners.",Technology,Software - Application,3431.820000
INSW,인터내셔널 시웨이스                                                  ,Intl Seaways                                                ,주식,49694484,NYSE,"600 3rd Ave Fl 39   NEW YORK NY 10016-2026 United States",https://www.intlseas.com/,Sea-Borne Tankers,Lois Zabrocky,"International Seaways, Inc. is a tanker company engaged in providing energy transportation services for crude oil and petroleum products in international flag markets. The Company operates through two segments: Crude Tankers and Product Carriers. The Crude Tankers segment is made up of a fleet of VLCCs, Suezmaxes, and Aframaxes engaged in the worldwide transportation of crude oil. This segment also includes its Crude Tankers Lightering business through which it provides ship-to-ship (STS) lightering support services and full-service STS lightering to customers in the United States Gulf (USG), United States Pacific, Grand Bahama, and Panama regions. The Product Carriers segment consists of a fleet of MRs, LR1 product carriers, and an LR2 product carrier engaged in the worldwide transportation of refined petroleum products. It owns and operates a fleet of about 82 vessels, including 13 VLCCs, 13 Suezmaxes, five Aframaxes/LR2s, 13 LR1s (including six new buildings), and 38 MR tankers.",Energy,Oil & Gas Midstream,2540.380000
INTA,Intapp                                                      ,Intapp                                                      ,주식,73430522,NASD,"3101 Park Boulevard   PALO ALTO CA 94306 United States",https://www.intapp.com/,Enterprise Software,John Hall,"Intapp, Inc. is a cloud-based software solutions company. The Company provides cloud software solutions to professional and financial services industry including private capital, investment banking, legal, accounting, and consulting firms. Its Intapp Platform is purpose-built to modernize these firms. The platform facilitates greater team collaboration, digitizes complex workflows to optimize deal and engagement execution, and leverages artificial intelligence (AI) to help nurture relationships and originate new business. The Company products and solutions include DealCloud, risk and compliance management solutions, operational and financial management solutions, collaboration solutions and integration solutions. Its DealCloud is a deal and relationship management solution for financial services firms. The Intapp platform allows firms to manage their risk and compliance challenges, such as conflicts and independence, ethical walls, and employee compliance.",Technology,Software - Application,3297.980000
INTC,인텔                                                          ,Intel                                                       ,주식,4267000000,NASD,"RNB-4-151, 2200 MISSION COLLEGE BLVD   SANTA CLARA CA 95054 United States",https://www.intel.com/,Semiconductors (NEC),Patrick Gelsinger,"Intel Corporation is engaged in designing and manufacturing of semiconductors. It operates through three segments: Intel Products, Intel Foundry, and All Other. Its Intel Products segment includes Client Computing Group (CCG), Data Center and AI (DCAI), Network and Edge (NEX). The CCG is focused on long-term operating system, system architecture, hardware, and application integration that enable PC experiences. Its DCAI segment offers workload-optimized solutions to cloud service providers and enterprise customers, along with silicon devices for communications service providers. Its NEX segment helps networks and edge compute systems from inflexible fixed-function hardware to general-purpose compute, acceleration, and networking devices running cloud-native software on programmable hardware. The Intel Foundry segment comprises Foundry Technology Development, Foundry Manufacturing and Supply Chain, and Foundry Services organizations. All Other segments include Altera, Mobileye, Other.",Technology,Semiconductors,86118.640000
INTU,인튜이트                                                        ,Intuit                                                      ,주식,279547000,NASD,"2700 Coast Avenue   MOUNTAIN VIEW CA 94043 United States",https://www.intuit.com/,Financial Technology (Fintech) (NEC),Sasan Goodarzi,"Intuit Inc. is a global financial technology platform that helps consumers and small businesses prosper by delivering financial management, compliance, and marketing products and services. The Company operates through four segments: Small Business & Self-Employed, Consumer, Credit Karma and ProTax. The Small Business & Self-Employed segment serves small businesses and the self-employed around the world, and the accounting professionals who assist and advise them. Its offerings include QuickBooks financial and business management online services and desktop software, payroll solutions, time tracking, merchant payment processing solutions, and financing for small businesses. The Consumer segment serves consumers and includes do-it-yourself and assisted TurboTax income tax preparation products and services. Credit Karma segment serves consumers with a personal finance platform that provides personalized recommendations of credit card, home, auto and personal loans, and insurance products.",Technology,Software - Application,172539.200000
INVA,이노비바                                                        ,Innoviva                                                    ,주식,62562495,NASD,"1350 OLD BAYSHORE HIGHWAY, SUITE 400   BURLINGAME CA 94010 United States",https://www.inva.com/,Pharmaceuticals (NEC),Pavel Raifeld,"Innoviva, Inc. is a diversified holding company with a portfolio of royalties and other healthcare assets. The Company's royalty portfolio consists of respiratory assets partnered with Glaxo Group Limited (GSK), including RELVAR/BREO ELLIPTA (fluticasone furoate/vilanterol, FF/VI) and ANORO ELLIPTA (umeclidinium bromide/vilanterol, UMEC/VI). Under the Long-Acting Beta2 Agonist (LABA) Collaboration Agreement, the Company is entitled to receive royalties from GSK on sales of RELVAR/BREO ELLIPTA. The Company's products include GIAPREZA and XERAVA. GIAPREZA (angiotensin II) injection is approved by the United States Food and Drug Administration (FDA) as a vasoconstrictor indicated to increase blood pressure in adults with septic or other distributive shock. XERAV (eravacycline) for injection is approved by the United States FDA and Singapore Health Sciences Authority (HSA) as a tetracycline class antibacterial indicated for the treatment of complicated intra-abdominal infections (cIAI).",Healthcare,Biotechnology,1184.930000
INVH,인비테이션 홈스                                                    ,Invitation Homes                                            ,주식,612594044,NYSE,"5420 Lbj Freeway, Suite 600   DALLAS TX 75240 United States",https://www.invitationhomes.com/,Residential REITs,Charles Young,"Invitation Homes Inc. is a real estate investment trust that conducts its operations through Invitation Homes Operating Partnership LP (INVH LP). INVH LP is engaged in owning, renovating, leasing, and operating single-family residential properties. Through THR Property Management L.P., a subsidiary of INVH LP, and its wholly owned subsidiaries (collectively, the Manager), it provides all management and other administrative services. The Manager provides professional property and asset management services to portfolio owners of single-family homes for lease. It has a vertically integrated operating platform that enables the Company to acquire, renovate, lease, maintain, and manage both the homes it owns and those it manages on behalf of others. Its business activity includes property operations, marketing and leasing, digital marketing initiatives and branding, resident relations and property maintenance, and investment and asset management. It has approximately 85,000 homes for lease.",Real Estate,REIT - Residential,21949.240000
INZY,Inozyme Pharma                                              ,Inozyme Pharma                                              ,주식,62734395,NASD,"321 SUMMER STREET, SUITE 400   BOSTON MA 02210 United States",https://www.inozyme.com/,Biotechnology & Medical Research (NEC),Douglas Treco,"Inozyme Pharma, Inc. is a clinical-stage rare disease biopharmaceutical company. The Company is focused on developing novel therapeutics for the treatment of diseases impacting the vasculature, soft tissue and skeleton. The Company is also focused on developing a novel therapy to treat the rare genetic diseases of Ectonucleotide Pyrophosphatase/Phosphodiesterase 1 (ENPP1) and ATP-Binding Cassette in the C6 family (ABCC6) Deficiencies. The Company?? lead product candidate, INZ-701, is a soluble, recombinant, genetically engineered, fusion protein that is designed to cleave extracellular adenosine triphosphate (ATP) to generate plasma pyrophosphate (PPi) and adenosine monophosphate (AMP), which can be processed to phosphate and adenosine. Its INZ-701 is in clinical development for the treatment of ENPP1 Deficiency, ABCC6 Deficiency and calciphylaxis.",Healthcare,Biotechnology,369.040000
IONQ,IONQ                                                        ,IONQ                                                        ,주식,214076151,NYSE,"4505 Campus Drive, Suite 100   COLLEGE PARK MD 20740 United States",https://ionq.com/,Cloud Computing Services,Peter Chapman,"IonQ, Inc. is engaged in quantum computing that delivers high-performance systems capable of solving commercial and research use cases. The Company's quantum computer, IonQ Forte, boasts 36 algorithmic qubits. It sells specialized quantum computing hardware together with related maintenance and support. The Company has developed custom hardware, custom firmware, and an operating system to orchestrate the quantum computers. The Company also sells access to several quantum computers of various qubit capacities and is in the process of researching and developing technologies for quantum computers with increasing computational capabilities. The Company makes access to its quantum computers available via three cloud platforms, Amazon Web Services (AWS) Amazon Braket, Microsoft's Azure Quantum and Google's Cloud Marketplace, and also to select customers via its own cloud service. This cloud-based approach enables the availability of quantum-computing-as-a-service (QCaaS).",Technology,Computer Hardware,1607.710000
IONS,아이오니스 파마수티컬스                                                ,IONIS Pharma                                                ,주식,146211091,NASD,"2855 Gazelle Court   CARLSBAD CA 92010 United States",https://www.ionispharma.com/,Biotechnology & Medical Research (NEC),Brett Monia,"Ionis Pharmaceuticals, Inc. is engaged in ribonucleic acid (RNA)-targeted therapeutics. The Company has five marketed medicines and a pipeline in neurology, cardiology, and other areas of high patient need. It has nine medicines in Phase III development and multiple additional medicines in early and mid-stage development. The Company?? products include SPINRAZA, QALSODY, WAINUA, TEGSEDI and WAYLIVRA. SPINRAZA is used for the treatment of patients with spinal muscular atrophy (SMA), a progressive, debilitating and often fatal genetic disease. QALSODY is an antisense medicine that is used for the treatment of adult patients with superoxide dismutase 1 amyotrophic lateral sclerosis (SOD1-ALS), a rare, neurodegenerative disorder that causes progressive loss of motor neurons leading to death. WAINUA is a self-administered subcutaneous LIgand-Conjugated Antisense (LICA) medicine used for the treatment of adults with polyneuropathy of hereditary transthyretin-mediated amyloidosis (ATTRv-PN).",Healthcare,Biotechnology,6841.220000
IOSP,이노스펙                                                        ,Innospec                                                    ,주식,24941421,NASD,"8310 South Valley Highway, Suite 350   ENGLEWOOD CO 80112 United States",https://innospec.com/,Specialty Chemicals (NEC),Patrick Williams,"Innospec Inc. develops, manufactures, blends, markets and supplies a wide range of specialty chemicals to customers in the Americas, Europe, the Middle East, Africa and Asia-Pacific. The Company operates through three segments: Performance Chemicals, Fuel Specialties and Oilfield Services. The Company?? Performance Chemicals business creates technology-based solutions for the personal care, home care, agrochemical, construction, mining, and other industrial markets. This segment serves multinational companies, manufacturers of personal care and home care products and global mining, agricultural and building products and other industrial companies. The Company?? Fuel Specialties segment develops, manufactures, blends, markets and supplies a range of specialty chemical products used as additives in diesel, jet, marine, fuel oil and other fuels. The Company?? Oilfield Services business supplies drilling, completion and production chemicals.",Basic Materials,Specialty Chemicals,2841.830000
IOT,Samsara                                                     ,Samsara                                                     ,주식,550806158,NYSE,"1 De Haro Street   SAN FRANCISCO CA 94107 United States",https://www.samsara.com,Software (NEC),Sanjit Biswas,"Samsara Inc. specializes in Connected Operations Cloud, which is a platform that enables organizations that depend on physical operations to use Internet of Things (IoT) data to develop actionable insights and improve their operations. The Company's Connected Operations Cloud includes its data platform, which ingests, aggregates, and enriches data from its IoT devices and a growing ecosystem of connected assets and third-party systems, and which has embedded capabilities for artificial intelligence (AI), workflows and analytics, alerts, application programming interface (API) connections, and data security and privacy; and applications for video-based safety, vehicle telematics, mobile apps and workflows, equipment monitoring, and site visibility. Its video-based safety application enables customers to build a safety program and protect their teams with AI-enabled video. It serves various sectors, including construction, transportation and warehousing, field services, and logistics.",Technology,Software - Infrastructure,22886.000000
IOVA,이오밴스 바이오세러퓨틱스                                               ,Iovance                                                     ,주식,303513872,NASD,"825 INDUSTRIAL ROAD, 4TH FLOOR   SAN CARLOS CA 94070 United States",https://www.iovance.com/,Bio Diagnostics & Testing,Frederick Vogt,"Iovance Biotherapeutics, Inc. is a clinical-stage biopharmaceutical company. The Company develops and delivers tumor infiltrating lymphocyte (TIL), therapies for patients with solid tumor cancers. Its lead product candidate, Amtagvi (lifileucel), is a tumor-derived autologous T cell immunotherapy indicated for the treatment of adult patients with unresectable or metastatic melanoma previously treated with a PD-1 blocking antibody, and if BRAF V600 mutation positive, a BRAF inhibitor with or without a MEK inhibitor. The Company also marketing Proleukin (aldesleukin), aninterleukin-2, or IL-2, product used in the Amtagvi treatment regimen. Its development pipeline includes multicenter trials of TIL cell therapies in additional treatment settings for solid tumor cancers. Amtagvi and Proleukin are part of a treatment regimen that also includes lymphodepletion. The Company is also developing next generation therapies using TIL, such as genetically modified TIL cell therapy.",Healthcare,Biotechnology,3611.820000
IP,인터내셔널 페이퍼                                                   ,Intl Paper                                                  ,주식,347369739,NYSE,"6400 Poplar Avenue   MEMPHIS TN 38197 United States",https://www.internationalpaper.com/,Paper Packaging (NEC),Mark Sutton,"International Paper Company is a global producer of sustainable packaging, pulp, and other fiber-based products, and a recycler. The Company operates through two segments: Industrial Packaging and Global Cellulose Fibers. The Industrial Packaging segment is focused on creating fiber-based packaging that protects and promotes goods, enables worldwide commerce, and helps keep consumers safe. The segment offers products, including linerboard, medium, whitetop, recycled linerboard, recycled medium and saturating kraft. The Global Cellulose Fibers segment creates pulp for a wide range of applications, such as diapers, towel and tissue products, feminine care, incontinence, and other personal care products that promote health and wellness. In addition, its specialty pulps serve as a sustainable raw material used in textiles, construction materials, paints, coatings and more. It serves customers worldwide, with manufacturing operations in North America, Latin America, North Africa and Europe.",Consumer Cyclical,Packaging & Containers,16903.010000
IPAR,인터 퍼퓸스                                                      ,Inter Parfums                                               ,주식,32024280,NASD,"STE 1500, 551 FIFTH AVE   NEW YORK NY 10176 United States",https://www.interparfumsinc.com/,Cosmetics & Perfumes,Philippe Benacin,"Inter Parfums, Inc. manufactures, markets and distributes a range of fragrance and fragrance related products. The Company has two segments. The Company produces and distributes its fragrance products under license agreements with brand owners, and fragrance product sales through its European based operations segment. It has built a portfolio of brands, which include Boucheron, Coach, Jimmy Choo, Karl Lagerfeld, Kate Spade, Lanvin, Moncler, Montblanc, Rochas, S.T. Dupont, and Van Cleef & Arpels, whose products are distributed in approximately 120 countries around the world. Its brand fragrance products are also produced and marketed through its United States based operations. These fragrance products are sold under trademarks owned by the Company or pursuant to license or other agreements with the owners of brands, which include Abercrombie & Fitch, Anna Sui, Donna Karan, DKNY, Ferragamo, Graff, GUESS, Hollister, MCM, Oscar de la Renta, and Ungaro.",Consumer Defensive,Household & Personal Products,4003.360000
IPG,인터퍼블릭 그룹 오브 컴퍼니스                                            ,Interpublic Grp                                             ,주식,375590566,NYSE,"909 Third Avenue   NEW YORK NY 10022 United States",https://www.interpublic.com/,Advertising & Marketing (NEC),Philippe Krakowsky,"The Interpublic Group of Companies, Inc. is a global advertising and marketing services company. The Company specializes in insights, data, media, creative and production, digital commerce, healthcare marketing and communications. It operates through three segments: Media, Data & Engagement Solutions (MD&E), Integrated Advertising & Creativity Led Solutions (IA&C), and Specialized Communications & Experiential Solutions (SC&E). The MD&E segment provides global media and communications services, digital services and products, advertising and marketing technology, e-commerce services, data management and analytics, strategic consulting, and digital brand experience. MD&E comprises IPG Mediabrands and Acxiom. The IA&C segment provides advertising, corporate and brand identity services, and strategic consulting. The SC&E segment provides global public relations and other specialized communications services, events, sports and entertainment marketing, and strategic consulting.",Communication Services,Advertising Agencies,12161.620000
IPGP,IPG 포토닉스                                                    ,IPG Photonics                                               ,주식,44226115,NASD,"377 Simarano Drive   MARLBOROUGH MA 01752 United States",https://www.ipgphotonics.com/,Electronic Components,Mark Gitin,"IPG Photonics Corporation develops, manufactures, and sells fiber lasers, fiber amplifiers and diode lasers that are used for diverse applications, primarily in materials processing. The Company?? portfolio of laser solutions is used in materials processing, medical and advanced applications. It designs and manufactures components used in its finished products, from semiconductor diodes to optical fiber preforms, finished fiber lasers and amplifiers. It manufactures complementary products used with its lasers, including optical delivery cables, fiber couplers, beam switches, optical processing heads, in-line sensors and chillers. The Company offers laser-based and non-laser-based systems for certain markets and applications. It sells its products to original equipment manufacturers (OEMs), system integrators and end users. It markets its products internationally, through its direct sales force. Its manufacturing facilities are located in the United States, Germany, Russia and Belarus.",Technology,Semiconductor Equipment & Materials,3086.980000
IPI,Intrepid Potash                                             ,Intrepid Potash                                             ,주식,13281455,NYSE,"707 17TH STREET, SUITE 4200   DENVER CO 80202 United States",https://www.intrepidpotash.com/,Agricultural Chemicals (NEC),Matthew Preston,"Intrepid Potash, Inc. is a diversified mineral company that delivers potassium, magnesium, sulfur, salt, and water products for customers in agriculture, animal feed and the oil and gas industry. Its segments include potash, Trio, and oilfield solutions. Its three primary products are potash, Trio, and water. It also sells salt, magnesium chloride, metal recovery salts, brines, and water that are derived as part of its mining processes. It sells potash into three primary markets: the agricultural market as a fertilizer input, the industrial market as a component in drilling and fracturing fluids for oil and gas wells and an input to other industrial processes, and the animal feed market as a nutrient supplement. Trio is its specialty fertilizer that delivers potassium, sulfate, and magnesium in a single particle. It sells water primarily for industrial uses in the oil and gas services industry. Its other oilfield related offerings include caliche, right-of-way agreements, and others.",Basic Materials,Agricultural Inputs,315.970000
IPSC,Century                                                     ,Century                                                     ,주식,84551813,NASD,"25 N 38TH STREET, 11TH FLOOR   PHILADELPHIA PA 19104 United States",https://www.centurytx.com/,Biotechnology & Medical Research (NEC),Brent Pfeiffenberger,"Century Therapeutics, Inc. is a biotechnology company. The Company is focused on developing transformative allogeneic cell therapies to create products for the treatment of both solid tumor and hematological malignancies with unmet medical need. The Company has created allogeneic cell therapy platform that includes induced pluripotent stem cells (iPSCs), differentiation know-how to generate immune effector cells from iPSCs, or iPSC- derived cells, clustered regularly interspaced short palindromic repeats, to incorporate multiple transgenes and remove target genes. The Company?? product candidates include CNTY-101, CNTY-102, CNTY-107, CNTY-104, and CNTY-106. Its CNTY-101 is focused on targeting CD19 for relapsed, refractory B-cell lymphoma. CNTY-102 targets CD19 + CD22 for relapsed, refractory B-cell lymphoma and other B-cell malignancies. CNTY-107 is used of the treatment of solid tumors expressing Nectin-4. CNTY-106 is a multi-specific collaboration program for multiple myeloma.",Healthcare,Biotechnology,169.430000
IQV,아이큐비아 홀딩스                                                   ,IQVIA Hldgs                                                 ,주식,182300000,NYSE,"2400 ELLIS ROAD   DURHAM NC 27703 United States",https://ir.iqvia.com/,Biotechnology & Medical Research (NEC),Ari Bousbib,"IQVIA Holdings Inc. is a provider of advanced analytics, technology solutions, and clinical research services to the life sciences industry. Its segments include Technology & Analytics Solutions, Research & Development Solutions, and Contract Sales & Medical Solutions. Technology & Analytics Solutions segment offers mission-critical information, technology solutions and real-world insights and services to its life science clients. Research & Development Solutions segment serves biopharmaceutical customers and provides outsourced clinical research and clinical trial related services. Contract Sales & Medical Solutions segment offers health care providers (including contract sales) and patient engagement services to both biopharmaceutical clients and the broader healthcare market. Its Connected Intelligence delivers insights and solutions enabling customers to accelerate the clinical development and commercialization of medical treatments that improve healthcare outcomes for patients.",Healthcare,Diagnostics & Research,45184.880000
IR,잉가솔랜드                                                       ,Ingersoll Ran                                               ,주식,403484175,NYSE,"525 HARBOUR PLACE DRIVE, SUITE 600   DAVIDSON NC 28036 United States",https://www.irco.com/,Industrial Machinery & Equipment (NEC),Vicente Reynal,"Ingersoll Rand Inc. is a diversified, global provider of mission-critical flow creation products and industrial solutions. It offers a range of mission-critical air, gas, liquid, and solid flow creation technologies. It manufactures a range of compressor, pump, vacuum and blower products. Its Industrial Technologies and Services segment designs, manufactures, markets and services a range of air and gas compression, vacuum and blower products, fluid transfer equipment, loading systems, power tools and lifting equipment, including associated aftermarket parts, consumables and services. Its Precision and Science Technologies segment designs, manufactures and markets a range of displacement pumps, fluid management systems, accessories and aftermarket parts that provide liquid and gas dosing, transfer, dispensing, pressure management and flow control in critical applications. It also offers powder and liquid single-use solutions for various markets, including pharma, cell, and gene therapy.",Industrials,Specialty Industrial Machinery,36636.360000
IRBT,아이로봇                                                        ,iRobot                                                      ,주식,30231204,NASD,"8 Crosby Dr   BEDFORD MA 01730-1402 United States",https://www.irobot.com/,Advanced Electronic Equipment,Jeffrey Engel,"iRobot Corporation is a global consumer robot company. The Company designs, builds, sells and supports durable robots through the integration of software, electronics and hardware. Its portfolio of home robots and smart home devices features technologies for the connected home and advanced concepts in cleaning, mapping and navigation, human-robot interaction and physical solutions. Its products include Roomba Combo, Roomba, Braava, Braava jet and Root. It offers the Braava family of automatic floor mopping robots, which are designed for hard-surface floors. It also sells Roomba accessories and consumables, including the Clean Base Automatic Dirt Disposal, replacement dirt disposal bags for the clean base, filters, brushes and batteries. It also provides ongoing customer service and support through the iRobot HOME App. The Company offers its products through distributor and retail sales channels, as well as the online store on its Website and through its Home App.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",238.520000
IRDM,이리디움 커뮤니케이션스                                                ,Iridium Commun                                              ,주식,118382660,NASD,"SUITE 1400, 1750 TYSONS BOULEVARD   MCLEAN VA 22102 United States",https://www.iridium.com/,Satellite Service Operators,Matthew Desch,"Iridium Communications Inc. is a commercial provider of communications services. The Company is engaged in providing mobile voice and data communications services using a constellation of orbiting satellites. It provides voice and data communications services to businesses, the United States and foreign governments, non-governmental organizations, and consumers via its satellite network, which has an architecture of 66 operational satellites with in-orbit spares and related ground infrastructure. It utilizes an interlinked mesh architecture to route traffic across its satellite constellation using radio frequency crosslinks between satellites. It serves market, such as emergency services, maritime, aviation, government, utilities, oil and gas, mining, recreation, forestry, heavy equipment, construction, railways and other transportation. Its products include Satellite Handsets and Iridium GO!, Broadband Data Devices, Voice and Data Modems and Internet of Things Data Devices.",Communication Services,Telecom Services,3090.970000
IRM,아이언 마운틴                                                     ,Iron Mountain                                               ,주식,293335826,NYSE,One Federal Street   PORTSMOUTH NH 03801 United States,https://www.ironmountain.com,Specialized REITs (NEC),William Meaney,"Iron Mountain Inc is a provider of information management services. The Company offers a range of services, including digital transformation, data centers, secure records storage, information management, asset lifecycle management, secure destruction, and art storage and logistics. The Company helps businesses to unlock value and intelligence from their stored digital and physical assets. It serves to protect its customers??work. Its segments include Global Records and Information Management (Global RIM) Business and Global Data Center Business. The Global RIM Business segment offers various offerings, including records management, data management, global digital solutions, secure shredding, entertainment services, and consumer storage. Its Global Data Center Business segment provides data center facilities and capacity to protect mission-critical assets and ensure the continued operation of its customers??information technology (IT) infrastructure with flexible data center options.",Real Estate,REIT - Specialty,33264.280000
IRON,Disc Medicine                                               ,Disc Medicine                                               ,주식,29707997,NASD,"321 Arsenal Street, Suite 101   WATERTOWN MA 02472 United States",https://www.discmedicine.com/,Biotechnology & Medical Research (NEC),Donald Nicholson,"Disc Medicine, Inc. is a clinical stage biopharmaceutical company focused on the discovery, development, and commercialization of novel treatments for patients suffering from serious hematologic diseases. The Company's pipeline includes bitopertin for the treatment of erythropoietic porphyrias (Eps) including erythropoietic protoporphyria (EPP) and X-linked protoporphyria (XLP), and Diamond-Blackfan Anemia (DBA); DISC-0974 for the treatment of anemia of myelofibrosis (MF), and anemia of chronic kidney disease (CKD), and DISC-3405 (formerly MWTX-003) for the treatment of polycythemia vera (PV) and other hematologic disorders. In addition, its preclinical programs also include DISC-0998, for the treatment of anemia associated with inflammatory diseases. Bitopertin is the lead product candidate in the Company's heme biosynthesis modulation portfolio. It is developing DISC-3405, a monoclonal antibody against Transmembrane Serine Protease 6 that it licensed from Mabwell Therapeutics, Inc.",Healthcare,Biotechnology,1476.920000
IRT,인디펜던스 리얼티 트러스트                                              ,Independence                                                ,주식,225120618,NYSE,"1835 Market Street, Suite 2601   PHILADELPHIA PA 19103 United States",https://www.irtliving.com/,Residential REITs,Scott Schaeffer,"Independence Realty Trust, Inc. is a self-administered and self-managed real estate investment trust (REIT). The Company?? investment strategy is focused on gaining scale near major employment centers within submarkets that offer good school districts and retail. The Company acquires, owns, operates, improves, and manages multifamily apartment communities across non-gateway United States markets. The Company owns and operates approximately 113 multifamily apartment properties across non-gateway United States markets, including Atlanta, Columbus, Dallas, Denver, Houston, Indianapolis, Nashville, Oklahoma City, Raleigh-Durham, and Tampa, Florida. The Company?? portfolio of properties consists primarily of apartment communities geographically concentrated in the Southeastern and Midwest United States. The Company owns all of its assets and conducts all its operations through Independence Realty Operating Partnership, LP (IROP).",Real Estate,REIT - Residential,4554.190000
IRTC,아이리듬 테크놀로지스                                                 ,iRhythm Tech                                                ,주식,31236075,NASD,"699 8th Street, Suite 600   SAN FRANCISCO CA 94103 United States",https://www.irhythmtech.com/,Medical Monitoring Systems,Quentin Blackford,"iRhythm Technologies, Inc. is a digital health care company, which creates solutions that detect, predict, and prevent disease. The Company designs, develops, and commercializes device-based technology to provide ambulatory cardiac monitoring services. It offers three Zio System options: the Zio Monitor System, the Zio XT System, and the Zio AT System. It offers its Zio ambulatory cardiac monitoring services, including long-term continuous monitoring, short-term continuous monitoring, and mobile cardiac telemetry monitoring services (Zio Services), using its Zio Systems. The Zio Monitor System is a prescription-only, remote ECG monitoring system that consists of a patch ECG monitor (the Zio Monitor patch) that records the electric signal from the heart continuously for up to 14 days and the Zio ECG Utilization Software (ZEUS) System, which supports the capture and analysis of ECG data recorded by the Zio Monitor patch at the end of the wear period.",Healthcare,Medical Devices,2180.590000
ISPR,Ispire Tech                                                 ,Ispire Tech                                                 ,주식,56400636,NASD,"19700 Magellan Drive   LOS ANGELES CA 90502 United States",http://www.ispiretech.com,Tobacco (NEC),Tuanfang Liu,"Ispire Technology Inc. is engaged in the research and development, design, commercialization, sales, marketing, and distribution of branded e-cigarettes and cannabis vaping products. The Company?? cannabis products are vaping hardware. The Company's cannabis products are marketed under the brand name Ispire. Its tobacco products are marketed under the Aspire brand name. The Company?? products are vapor devices, a category that includes closed-system vaping devices (non-cigarlike), vaping components, and open-system vaping devices. The Company?? products use the Company's bottom dual coil (BDC) technology which uses bottom dual coils to provide much higher temperature and expanded heating that achieves much greater flavor and vapor production. The Company?? Ispire cannabis vapor products use the Company?? patented Ducore (Dual Coil) technology for cannabis vaporizers. This technology enables users to create massive plumes of vaping without burning cannabis oil.",Consumer Defensive,Tobacco,417.410000
