,Description
2950,오랜 침체를 겪었던 중화권 관련 상장지수펀드(ETF) 수익률이 가파른 우상향 곡선을 그리고 있다. 중국... 11월 미국 대선이 다가오는 점도 부담 요인인 가운데 10월 중순까지 단기 반등이 이어질 수 있지만 중화권... 
2951,"/신한자산운용 신한자산운용이 'SOL K방산' ETF를 유가증권 시장에 상장한다고 3일 밝혔다. 전통적인 방산... 박 팀장은 &quot;최근 한화오션과 HD현대중공업 등 한국 조선기업들의 미국 함정 MRO(유지, 보수, 정비) 시장 진출은... "
2952,"미래에셋자산운용은 'TIGER 미국테크TOP10타겟커버드콜 ETF', 'TIGER 미국나스닥100커버드콜(합성) ETF', 'TIGER 미국S&amp;P500타겟데일리커버드콜 ETF', 'TIGER 미국배당다우존스타겟커버드콜1호 ETF' 등 총 7종의 미국 투자... "
2953,한화자산운용은 국내 방위산업 핵심 기업에 투자하는 상장지수펀드( ETF)인 'PLUS K방산'이 국내 투자 ETF 중... 한화자산운용은 올 11월 치루어지는 미국 대선 역시 국내 방산 기업들에게 새로운 기회가 될 것이란... 
2954,"'TIGER 미국AI반도체팹리스 ETF'는 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란 생산 시설이 없는 반도체 설계 전문 기업들로, 엔비디아, AMD, 브로드컴, 퀄컴, ARM 등 현재 글로벌 반도체 시장을 이끄는 주요... "
2955,"미국에 상장된 ETF에 주로 투자하며 인간의 감정을 배재하고 객관적, 과학적 분석에 따라 정교하게 운용돼 오랜 기간 투자를 하더라도 사람이 하는 펀드에 비해 운용철학을 일관되게 유지할 수 있다고 회사 측은... "
2956,KB자산운용은 ‘RISE 글로벌원자력 ETF’ 순자산액이 1000억원을 돌파했다고 30일 밝혔다. 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 더불어 인공지능(AI)·데이터센터의 발달로 전력 수요가... 
2957,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(491830)'를 신규 상장한다고 24일 밝혔다. TIGER 미국AI반도체팹리스 ETF는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란... 
2958,사진=미래에셋자산운용 미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(491830)'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에... 
2959,미국 대표 배당성장 ETF 인 '슈와브 US 디비던드 에쿼티(SCHD)'와 같이 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해 자본·인컴... 
2960,사진=미래에셋자산운용 미래에셋자산운용이 한국거래소에 ‘TIGER 미국AI반도체팹리스 ETF’를 신규 상장한다고 24일 밝혔다. ‘TIGER 미국AI반도체팹리스 ETF’는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에... 
2961,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5대5 비중으로 투자하며 국내 상장된 미국배당 다우존스 ETF 중 퇴직연금 계좌에서 납입금의 100%를 투자할 수 있는 유일한 상품이다. 변동성... 
2962,'RISE 미국테크100 데일리 고정 커버드콜 ETF'와 'RISE 미국AI밸류체인 데일리 고정 커버드콜 ETF'이다. 커버드콜은 기초자산 매수와 동시에 콜옵션을 매도하는 대표적 옵션 투자전략이다. 커버드콜을 활용하면 주가가... 
2963,하락 버틴 국내 개별종목ETF 채권도 담겨 상승장서는 부진 최근 테크주 반등에 매력 줄어 올해 엔비디아 140% 오를때 단일종목 ETF는 36%만 올라 미국 연방준비제도(Fed)의 빅컷 여파로 최근 부진했던 테크주가... 
2964,© 미래에셋자산운용 미래에셋자산운용은 한국거래소에 ‘TIGER 미국AI반도체팹리스 ETF’를 신규 상장한다고 24일 밝혔다. ‘TIGER 미국AI반도체팹리스 ETF’는 AI 반도체 시장의 핵심인 미국 팹리스(Fabless)... 
2965,"화이트페이퍼, WHITEPAPER(사진=삼성자산운용) 삼성자산운용은 'KODEX 미국30년국채타겟커버드콜(H)' 상장지수펀드(ETF)의 분배금 지급 기준일을 매월 마지막 영업일에서 15일로 변경한다고 30일 밝혔다. 이에 따라 10월... "
2966,뉴데일리 김민아 기자 = 삼성자산운용은 ‘KODEX 미국30년국채타겟커버드콜(H)’ ETF의 분배금 지급 기준일을 매월 마지막 영업일에서 15일로 변경한다고 30일 밝혔다. 이에 따라 10월 분배금 지급 기준일은 15일이 되며... 
2967,'TIGER 미국AI반도체팹리스 ETF'는 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란 생산 시설이 없는 반도체 설계 전문 기업들로 최근 AI 반도체 산업 혁신을 주도하고 있다. AI의 성능은 최첨단 고성능... 
2968,삼성자산운용은 자사의 상장지수펀드(ETF)인 ‘KODEX 미국AI테크TOP10+15%프리미엄’이 상장 4개월여만에 순자산 3000억원을 넘었다고 23일 밝혔다. 삼성자산운용에 따르면 해당 ETF의 순자산액은 3004억을 기록했다.... 
2969,"‘타겟커버드콜’ ETF라는 상품 특징을 고려했다. ‘TIGER 미국배당+3%프리미엄다우존스(458750)’는 ‘TIGER 미국배당다우존스타겟커버드콜1호’로, ‘TIGER 미국배당+7%프리미엄다우존스(458760)’는 ‘TIGER... "
2970,"TIGER 미국AI반도체팹리스 ETF는 인공지능(AI) 반도체 시장 핵심인 미국 팹리스(Fabless) 기업들에 투자한다. 팹리스란 생산 시설이 없는 반도체 설계 전문 기업들로, 최근 AI 반도체 산업 혁신을 주도하고 있다. AI... "
2971,"미국 대표 배당성장 ETF 인 '슈와브 US 디비던드 에쿼티(SCHD)'와 같이, 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해 자본수익과... "
2972,미래에셋자산운용은 24일 한국거래소에 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)는... 
2973,만기가 24시간 남은 옵션을 매일 매도하는 초단기 옵션 활용 TIGER ETF 2종은 ‘초단기’ 대신 ‘데일리’를 사용한다. ‘TIGER 미국S&amp;P500+10%프리미엄초단기’와 ‘TIGER 미국나스닥100+15%프리미엄초단기’ 는 각각... 
2974,"미국 대표 배당성장 ETF 인 ‘슈와브 US 디비던드 에쿼티(SCHD)‘와 같이, 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해... "
2975,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5:5 비중으로 투자한다. 특히 특정 섹터에 쏠림 없이 균형잡힌 포트폴리오 구성으로 연 3% 이상의 배당을 통해 변동성 장세에서도 성과 방어가... 
2976,"해당 ETF는 미국배당다우존스와 미국채 10년을 각각 절반씩 투자한다. 균형 잡힌 포트폴리오 구성으로 성과 방어가 가능한 미국배당다우존스의 장점에, 안전자산으로 분류되는 미국채권투자로 변동성을 완화할 수... "
2977,남용수 한국투자신탁운용 ETF운용본부장은 &quot;9월 연방공개시장위원회(FOMC)를 기점으로 미국의 금리 인하 사이클이 시작되면 주요국 중앙은행은 약세를 보일 수 있는 달러 대신 금 수요를 늘려갈 것&quot;며... 
2978,국내 방위산업 핵심 기업에 투자하는 한화자산운용 상장지수펀드(ETF)인 'PLUS K방산'이 국내 투자 ETF 상품... 11월 미국 대선 역시 국내 방산 기업들에게 기회 요인이다. 트럼프와 해리스 후보 모두 자국 우선주의... 
2979,"‘타겟커버드콜’ ETF라는 상품 특징을 고려했다. ‘TIGER 미국배당+3%프리미엄다우존스’는 ‘TIGER 미국배당다우존스타겟커버드콜1호’로, ‘TIGER 미국배당+7%프리미엄다우존스’는 ‘TIGER... "
2980,"미래에셋, 'TIGER 미국AI반도체팹리스 ETF' 신규 상장. [사진=미래에셋자산운용 제공] 라이센스뉴스 = 박상원 기자 | 미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(491830)'를 신규 상장한다고 24일... "
2981,24일 미래에셋자산운용에 따르면 TIGER 미국AI반도체팹리스 ETF는 AI(인공지능) 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란 생산 시설이 없는 반도체 설계 전문 기업들로 최근 AI 반도체... 
2982,"상장 ETF, 엔비디아·AMD·브로드컴·퀄컴·ARM 반도체 투자 미래에셋자산운용은 24일 ‘TIGER 미국AI반도체팹리스 ETF’를 신규 상장한다. 이 상장지수펀드(ETF)는 인공지능(AI) 반도체 시장 핵심인 미국 팹리스... "
2983,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(491830)'를 신규 상장한다고 24일 밝혔다. TIGER 미국AI반도체팹리스 ETF는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란... 
2984,이 상품은 미국 대표 고배당주 100개에 투자하는 대표적인 미국 배당주 ETF다. 최근 빅테크가 주가 변동성을 키워 수익률 공포를 맛본 서학개미들이 안정적인 배당주 ETF에 몰린 것으로 보인다. 이 외에도... 
2985,고경범 유안타증권 연구원은 “과거와 달리 투자자들의 관심이 국내뿐만 아니라 미국 등 해외 ETF 등까지 넓혀져 있는 상황인 만큼 기대만큼의 수급이 나타나지 않을 가능성도 있다”고 지적했다. 최근 불거진... 
2986,이 ETF는 미국배당 다우존스와 미국채 10년을 5대 5 비중으로 투자한다. 특히 균형잡힌 포트폴리오 구성으로 연 3% 이상의 배당을 통해 변동 장세에서도 미국배당 다우존스의 장점에 더해 안전자산으로 분류되는... 
2987,"미국 대표 배당성장 ETF 인 '슈와브 US 디비던드 에쿼티(SCHD)'와 같이, 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해 자본수익과... "
2988,"이와 함께 미래에셋자산운용은 'TIGER 미국 테크TOP10 타겟커버드콜 ETF', 'TIGER 미국 나스닥100 커버드콜(합성) ETF', 'TIGER 미국S&amp;P500 타겟데일리커버드콜 ETF', 'TIGER 미국배당 다우존스 타겟커버드콜1호 ETF' 등... "
2989,미래에셋자산운용이 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다. [미래에셋자산운용]  미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다고 24일 밝혔다. 'TIGER... 
2990,미래에셋자산운용은 한국거래소에 ‘TIGER 미국AI반도체팹리스 ETF(상장지수펀드)’를 신규 상장한다고 24일 밝혔다. ‘TIGER 미국AI반도체팹리스 ETF’는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다.... 
2991,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란 생산... 
2992,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5 대 5 비중으로 투자한다. 특정 섹터에 쏠림 없이 균형잡힌 포트폴리오 구성으로 연 3% 이상의 배당을 통해 변동성 장세에서도 성과 방어가... 
2993,"투자하는 ETF와 비교하면 차이가 크다. 미국 반도체주에 투자하는 'KODEX 미국반도체MV'와 'TIGER미국필라델피아반도체나스닥'은 하반기 들어 12.91%, 12.75% 하락했지만, 올해 수익률은 여전히 37.28%, 20.08%로 양호하다.... "
2994,미국 장기채에 커버드콜 전략을 활용한 해당 ETF는 최근 미국 연준의 금리인하에 대한 기대감과 금리인하 시점에 대한 불확실성을 동시에 공략할 수 있어 주목받고 있다. 미래에셋자산운용이 국내 최초로... 
2995,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5대 5 비중으로 투자하며 국내에 상장된 미국배당 다우존스 ETF 중 퇴직연금(DC/IRP) 계좌에서 납입금의 100%를 투자할 수 있는 유일한 상품이다.... 
2996,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5:5 비중으로 투자하는 상품이다. 현재 미국 금리가 인하 사이클에 진입해 금리 하락에 따른 채권 수익률의 상승 수혜도 기대할 수 있다. 김정현... 
2997,KB자산운용은 'RISE 글로벌원자력' ETF(상장지수펀드)의 순자산이 1000억원을 돌파했다고 30일 밝혔다. 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 더불어 인공지능(AI)·데이터센터의 발달로 전력... 
2998,그 결과 8월 말 현재 ‘TIGER 미국 S&amp;P500’이 가장 많은 선택을 받은 ETF로 나타났다. 이어 △TIGER 미국 배당 다우존스 △TIGER 미국 나스닥 100 △TIGER 미국 배당 + 7% 프리미엄 다우존스 △KODEX 미국 S&amp;P500 TR 등이... 
2999,삼성액티브자산운용이 'KoAct 바이오헬스케어액티브 ETF(상장지수펀드)’가 3개월 만에 수익률 24.3%를... 산업”이라며 “미국 정부의 적극적인 중국 기업 배제 정책으로 한국 위탁개발생산(CDMO)업체들의 직간접 수혜와... 
3000,"2024년 9월 기준 'RISE 글로벌원자력 ETF'의 섹터별 비중을 보면 원자력 발전소가 66.4%로 가장 크고, 원재료(우라늄) 28.7%, 원전 관련 서비스 3.1% 순서다. 국가별로는 미국(64.4%), 한국(26.18%), 캐나다(7.53%) 순이다.... "
3001,/삼성자산운용 삼성자산운용은 'KODEX 미국30년국채타겟커버드콜(H)'상장지수펀드( ETF)의 분배금 지급 기준일을 매월 마지막 영업일에서 15일로 변경한다고 30일 밝혔다. 이에 따라 10월 분배금 지급 기준일은 15일이... 
3002,"화이트페이퍼, WHITEPAPER(사진=KB자산운용) KB자산운용은 'RISE 글로벌원자력 ETF' 순자산이 1000억원을 돌파했다고 30일 밝혔다. 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 더불어 인공지능(AI)... "
3003,김승현 한국투자신탁운용 ETF컨설팅담당은 &quot;우선 미국과 싱가포르의 경우(일본과 마찬가지로) 한국보다 최소 수십 년 이상 더 긴 리츠 시장의 역사가 있으며 몇 년 전 국토교통부에서 리츠 활성화 정책을 발표했을... 
3004,사진/KB자산운용 KB자산운용의 'RISE 글로벌원자력' ETF(상장지수펀드) 순자산이 1000억원을 돌파했다. 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 인공지능(AI)·데이터센터의 발달로 전력 수요가... 
3005,미국 대표 배당성장 ETF인 '슈와브 US 디비던드 에쿼티(SCHD)‘와 같이 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해 자본수익과... 
3006,"‘타겟커버드콜’ ETF라는 상품 특징을 고려했다. △TIGER 미국배당+3%프리미엄다우존스는 TIGER 미국배당다우존스타겟커버드콜1호로, △TIGER 미국배당+7%프리미엄다우존스는 TIGER... "
3007,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(491830)'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)... 
3008,"이에 따라 연말까지 중국 ETF에 대한 투자자들의 관심은 지속될 전망이다. 박수현 KB증권 연구원은 “11월 미국 대선을 앞두고 시장 변동성이 확대될 수 있으나, 11월 9일 발표되는 중국 CPI가 양호한 상승폭을 기록할... "
3009,미래에셋자산운용은 한국거래소에 타이거 미국AI반도체팹리스 ETF를 신규 상장한다고 24일 밝혔다. 이 상품은 인공지능(AI) 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란 생산 시설이 없는... 
3010,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5대5 비중으로 투자한다. 특히 특정 섹터에 쏠림 없이 균형 잡힌 포트폴리오 구성으로 연 3% 이상의 배당을 통해 변동성 장세에서도 성과 방어가... 
3011,"미국 인공지능(AI) 밸류체인 종목에 투자하는 ETF 등 네 종목이 2일 유가증권시장에 상장한다. /사진=이미지투데이 2일 한국거래소 유가증권시장본부에 따르면, 상장지수펀드(ETF)인 ▲SOL K방산 ▲1Q CD금리액티브... "
3012,"'TIGER 미국AI반도체팹리스 ETF'는 엔비디아, AMD, 브로드컴, 퀄컴, ARM 등 현재 글로벌 반도체 시장을 이끄는 주요 기업들에 투자하는 ETF다. ETF 기초지수는 '미래에셋 미국 AI 팹리스 인덱스(Mirae Asset US AI Fabless Index)... "
3013,커버드콜 ETF의 상품명은 오는 25일 일괄 변경된다. 연 분배율을 뜻하는 ‘+00%’나 ‘프리미엄’ 등의 표현은 상품명에서 모두 사라지고 ‘타겟 커버드콜’로 일원화된다. 이에 따라 미래에셋운용의 ‘TIGER 미국나스닥10... 
3014,미래에셋자산운용은 한국거래소에 ‘TIGER 미국AI반도체팹리스 ETF(491830)’를 신규 상장한다고 24일 밝혔다. ‘TIGER 미국AI반도체팹리스 ETF’는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스... 
3015,"미래에셋자산운용(대표이사 최창훈, 이준용)은 'TIGER 미국테크TOP10채권혼합 ETF(472170)' 순자산이 1000억원을 돌파했다고 2일 밝혔다. 미래에셋자산운용 제공 미래에셋자산운용(대표이사 최창훈, 이준용)은... "
3016,/미래에셋자산운용 미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다.... 
3017,©AP신문(AP뉴스)/ 이미지 제공 = 미래에셋자산운용  미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(491830)'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의... 
3018,"이 같은 단점을 보완하기 위해 미래에셋자산운용은 'TIGER 미국배당다우존스타겟커버드콜1호 ETF'(458750), 'TIGER 미국배당다우존스타겟커버드콜2호 ETF(458760)' 등 다양한 커버드콜 전략 ETF를 선보이고 있다. 이는... "
3019,"삼성자산운용은 'KODEX 미국30년국채타겟커버드콜(H)' ETF의 분배금 지급 기준일을 매월 마지막 영업일에서 15일로 변경한다고 30일 밝혔다. 이에 따라, 10월 분배금 지급 기준일은 15일이 되며 실지급일은 17일이다.... "
3020,"KODEX 미국30년국채타겟커버드콜(합성 H)은 지난 4월 말 상장한 ETF로, 만기가 20년 이상 남은 미국 30년 국채들에 투자한다. 동시에 연 12% 수준의 프리미엄을 확보할 수 있도록 매주 위클리 콜옵션을 일정 수준... "
3021,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5 대 5 비중으로 투자한다. 특히 특정 섹터에 쏠림 없이 균형 잡힌 포트폴리오 구성으로 연 3% 이상의 배당을 통해 변동성 장세에서도 성과 방어가... 
3022,(합성)'은 'ACE 미국빅테크7+데일리타겟커버드콜'로 바뀔 예정이다. 또 상품명 가이드라인이 정리되면서 잠정 중단했던 커버드콜 ETF 신규 상장도 재개될 예정이다. 커버드콜은 기초자산을 매수하고 동시에... 
3023,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF(상장지수펀드)'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI(인공지능) 반도체 시장의 핵심인 미국 팹리스 기업들에... 
3024,"올해 순자산 증가 상위 10곳 중 8곳도 미국 관련 ETF가 휩쓸었다. 상품별로 살펴보면, TIGER 미국S&amp;P500(2위·증가 2조3743억원)이 가장 크게 증가했고 ▷TIGER 미국필라델피아반도체나스닥(3위·1조1027억원) ▷TIGER... "
3025,KB자산운용은 'RISE 글로벌원자력 ETF' 순자산이 1000억원을 돌파했다고 30일 밝혔다. 이는 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 함께 인공지능(AI)·데이터센터의 발달로 전력 수요가 급증하면서... 
3026,"주효했다&quot;며 &quot;(미국이) 자국 내에서 환경·사회·지배구조(ESG) 바람이 일면서 친환경 온수기 수요가 늘어난... 오는 11월 지수 선물, 상장지수펀드(ETF), 상장지수증권(ETN) 등이 상장되면 이를 추종하는 기관 투자 등을... "
3027,패시브 ETF다. 특정 그룹 회사채에 투자하는 첫 채권형 상품으로 현대차 그룹에 대한 선호가 높은 투자자들의 투자 수요를 기대한다고 거래소는 설명했다. 'RISE 미국테크100데일리고정커버드콜'은 미국 테크100 지수... 
3028,"TIGER 미국AI반도체팹리스 ETF는 인공지능(AI) 반도체 시장의 핵심인 미국 팹리스 기업에 투자한다. 팹리스(Fabless)란 생산 시설이 없는 반도체 설계 전문 기업으로, 최근 AI 반도체 산업 혁신을 주도하고 있다.... "
3029,"반도체 ETF는 1.5%대 하락으로 부진했습니다. 원자재 시장에서는 지정학적 리스크 증가로 국제 유가가 1%대 상승했으나, 사우디의 증산 계획과 리비아의 공급 충격 완화로 주간 기준 4%대 하락했습니다. 미국 천연가스... "
3030,글로벌 원자력 인프라 상장지수펀드(ETF)들이 상승세를 타고 있다. 미국이 폐쇄한 원자력 발전소를 재가동한다는 소식이 호재로 작용했다. 23일 한국거래소에 따르면 이날 국내에 상장된 ETF 중 수익률 1위는 ‘RISE... 
3031,특히 국내에 상장된 미국배당 다우존스 ETF 중 퇴직연금 계좌에서 납입금의 100%를 투자할 수 있는 유일한 상품이다. 김정현 신한자산운용 ETF사업본부장은 “지난해 3.64%의 배당수익률을 기록한 미국배당다우존스와... 
3032,옵션 매도 비중을 조절해 투자자에게 분배금을 전달하는 ‘2세대 커버드콜’ 상장지수펀드(ETF) 상품명에... 예를 들어 삼성자산운용의 ‘코덱스(KODEX)미국배당+10%프리미엄다우존스’는... 
3033,"국내상장 ETN/ETF 중 미국주식을 활용한 테마형 상품이 많지만 제약과, 테크&amp;반도체 테마를 3종목만 편입한 상품은 미래에셋증권에서 발행한 미국 주식 TOP3 ETN이 업계 최초이다. 미래에셋증권 관계자는 “국내상장... "
3034,KB자산운용의 ‘RISE 글로벌원자력 ETF’ 순자산이 1000억원을 돌파했다. 30일 KB자산운용에 따르면 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 함께 인공지능(AI)·데이터센터의 발달로 전력 수요가... 
3035,SOL 미국배당 미국채 혼합 50 ETF는 미국배당 다우존스와 미국채 10년을 5대 5 비중으로 투자한다. 특정 섹터에 쏠림 없이 균형 잡힌 포트폴리오 구성으로 연 3% 이상 배당을 통해 변동성 장세에서도 성과 방어가... 
3036,성황리에 진행 중인 머니투데이 'ETF투자왕' 대회의 첫 월간 투자왕이 결정됐다. 9월 한달 수익률 35%를 기록한 자율 부문의 김병수(닉네임)를 비롯해 5명의 참가자가 그 주인공이다. 이들은 미국 금리인하와... 
3037,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다고 24일 밝혔다. 'TIGER 미국AI반도체팹리스 ETF'는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스(Fabless)란 생산... 
3038,미래에셋자산운용은 한국거래소에 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장한다고 24일 밝혔다. TIGER 미국AI반도체팹리스 ETF는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스란 생산 시설이... 
3039,하락 버틴 국내 개별종목ETF 채권도 담겨 상승장서는 부진 최근 테크주 반등에 매력 줄어 올해 엔비디아 140% 오를때 단일종목ETF는 36%만 올라 미국 연방준비제도(Fed·연준)의 빅컷 여파로 최근 부진했던 테크주가... 
3040,이미지=미래에셋자산운용 미래에셋자산운용은 'TIGER 미국AI반도체팹리스 ETF'를 신규 상장했다고 24일 밝혔다. 이 ETF는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스는 생산 시설 없이 반도체... 
3041,'SOL 미국배당 미국채 혼합 50' ETF는 미국 고배당주로 구성된 미국배당 다우존스 지수와 미국채 10년물에 반 씩 투자한다. 미국배당 다우존스는 10년이상 꾸준히 배당을 늘려온 종목 가운데 성장성까지 고려해 골라낸... 
3042,최근 미국 연방준비위원회 빅컷에 따른 경기 부양 기대감으로 상승하는 모습이다&quot;고 말했다. 중국 투자 ETF 수익률은 최근 중국 증시 상승과 맞물려 반등하고 있다. 중국 증시는 이달 중순부터 강세 흐름을... 
3043,삼성자산운용은 ‘KODEX 미국30년국채타겟커버드콜(H)’ ETF의 분배금 지급 기준일을 매월 마지막 영업일에서 15일로 변경한다고 30일 밝혔다. 이에 따라 10월 분배금 지급 기준일은 15일이 되며 실지급일은 17일이다.... 
3044,"‘타겟커버드콜’ ETF라는 상품 특징을 고려했다. ‘TIGER 미국배당+3%프리미엄다우존스’는 ‘TIGER 미국배당다우존스타겟커버드콜1호’로, ‘TIGER 미국배당+7%프리미엄다우존스’는 ‘TIGER... "
3045,미국 대표 배당성장 ETF인 '슈와브 US 디비던드 에쿼티(SCHD)'와 같이 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산투자한다. 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해 자본수익과... 
3046,KB자산운용은 ‘RISE 글로벌원자력 ETF’ 순자산이 1000억원을 돌파했다고 30일 밝혔다. 이는 최근 미국의 스리마일섬 원자력발전소(TMI) 재가동 소식과 함께 인공지능(AI)·데이터센터의 발달로 전력 수요가... 
3047,"이후 비트코인 상장지수펀드(ETF)에 다시 자금이 유입되고, 미국 경제 지표가 호조를 보이면서 지난 달 2일 이후 2개월만에 6만5000달러까지 돌파한뒤 6만4000달러대에서 거래중이다. 한편 코인마켓캡의 ‘가상자산... "
3048,"미국 뉴욕증시는 장초반 상승 출발했다. 4일 10시 34분 현재(미 동부시간)... 프로셰어즈 울트라프로 QQQ ETF(4조 1,124억원, 94억원↑) 6. 디렉션 데일리 세미컨덕터 불 3X 셰어즈 ETF... "
3049,미국 대표 배당성장 ETF인 ‘슈와브 US 디비던드 에쿼티(SCHD)’와 같이 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해... 
3050,미래에셋자산운용은 한국거래소에 ‘TIGER 미국AI반도체팹리스 ETF’를 신규 상장한다고 24일 밝혔다. ‘TIGER 미국AI반도체팹리스 ETF’는 AI 반도체 시장의 핵심인 미국 팹리스 기업들에 투자한다. 팹리스란 생산... 
3051,미국 대표 배당성장 ETF 인 '슈와브 US 디비던드 에쿼티(SCHD)'처럼 10년 연속 배당으로 검증된 미국 상장 배당 성장 핵심 기업 상위 100종목에 분산 투자하고 동시에 SPY ETF의 데일리 콜옵션을 10% 매도해 자본수익과... 
3052,"2위는 '미국 장기채 엔화 헤지 ETF'입니다. 지난주 연준과 일본은행의 금리 결정을 앞두고 달러엔 환율도 변동성을 보였습니다. 현재 143엔대에서 거래되고 있는데요. 예상 밖으로 엔화가 약세를 보인다는 평가지만, 이전에... "
3053,"‘타겟커버드콜’ ETF라는 상품 특징을 고려했다. ‘TIGER 미국배당+3%프리미엄다우존스’는 ‘TIGER 미국배당다우존스타겟커버드콜1호’로, ‘TIGER 미국배당+7%프리미엄다우존스’는 ‘TIGER... "
3054,월배당에 대한 수요와 인공지능(AI)산업 성장성에 대한 기대감으로 투자자들이 월배당 테크 ETF에 관심이 집중되고있다. 삼성자산운용은 코덱스 미국AI테크TOP10+15%프리미엄이 상장 4개월여만에 순자산 3000억원을 넘어... 
